dataset_review_id,review_id,source_pool_id,scenario,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text
MOSTLY_POSITIVE-00001,H4H-REV-01595,SRC-01595,high_risk,PROP-0003,Cobalt Inn Bogotá,hostel,Bogotá,Colombia,4.679555,-74.044789,nightlife_district,India,couple,es,Spanish,2024-09-02,2024-07,9,4.6,Buena estancia,Cobalt Inn Bogotá funciono bien para un viaje en pareja; la habitacion fue bastante silenciosa para dormir bien en esta estancia de trabajo en Cobalt Inn Bogotá. Me quede 9 noches en Cobalt Inn Bogotá y llegue tarde por la noche. Las fotos se parecian bastante a lo que encontre al llegar para un viaje en pareja en Bogotá.
MOSTLY_POSITIVE-00002,H4H-REV-04444,SRC-04444,mostly_positive,PROP-0045,Vista Rooms Tokyo,mid_range_hotel,Tokyo,Japan,35.652890,139.701006,nightlife_district,United Kingdom,business,es,Spanish,2024-03-01,2024-02,9,4.8,No era lo esperado,"La mayor parte del viaje fue fuera, asi que Vista Rooms Tokyo fue mas un punto de descanso en Tokyo. La ubicacion estaba mas lejos del transporte de lo anunciado en esta estancia de conferencia en Vista Rooms Tokyo. No afecto mi seguridad personal, pero si hizo la estancia menos comoda mientras estaba 9 noches en Tokyo. Esperaba una estancia mas fluida segun el anuncio y la puntuacion en esta estancia de conferencia en Vista Rooms Tokyo."
MOSTLY_POSITIVE-00003,H4H-REV-06045,SRC-06045,mostly_positive,PROP-0294,Orchid Stay,boutique_hotel,Tokyo,Japan,35.712088,139.623483,nightlife_district,Japan,business,en,English,2025-12-11,2025-11,9,4.7,Good stay,"Finding Orchid Stay was straightforward when I arrived after a delayed train. For 9 nights in Tokyo, the room was quiet enough to sleep well, and the stay felt straightforward during my 9 nights booking at Orchid Stay. The photos were close to what I found on arrival, which shaped my impression of Orchid Stay."
MOSTLY_POSITIVE-00004,H4H-REV-05677,SRC-05677,mostly_positive,PROP-0437,Lantern Suites Cairo,hostel,Cairo,Egypt,30.047836,31.260889,nightlife_district,Argentina,solo_female,de,German,2024-06-24,2024-05,6,1.8,Guter Aufenthalt,Ich blieb 6 Nachte im Lantern Suites Cairo und kam nach einem verspateten Zug an. Lantern Suites Cairo passte gut fur eine allein reisende Frau; die Ausstattung entsprach der Anzeige wahrend meiner Buchung von 6 Nachte im Lantern Suites Cairo.
MOSTLY_POSITIVE-00005,H4H-REV-04162,SRC-04162,mostly_positive,PROP-0510,Orchid Suites Milan,mid_range_hotel,Milan,Italy,45.433363,9.223430,nightlife_district,Italy,couple,pt,Portuguese,2026-03-30,2026-02,8,4.8,Confortavel para a viagem,"A reserva em Orchid Suites Milan, Milan, funcionou sem muita complicacao por 8 noites em Orchid Suites Milan. Fiz check-in depois de um trem atrasado e fiquei 8 noites em Orchid Suites Milan."
MOSTLY_POSITIVE-00006,H4H-REV-03347,SRC-03347,mostly_positive,PROP-0179,Juniper House,boutique_hotel,Prague,Czechia,50.037654,14.432771,residential,Belgium,solo_female,en,English,2024-09-30,2024-09,9,4.2,Comfortable visit,"This was a city break stay, with 9 nights booked at Juniper House. Juniper House worked well for a woman travelling alone; check-in was smooth and clearly explained while I was in Prague for 9 nights. Small things like clear instructions and a tidy room made the stay easy while I was in Prague for 9 nights."
MOSTLY_POSITIVE-00007,H4H-REV-02566,SRC-02566,mostly_positive,PROP-0350,Urban Lofts,hostel,Jakarta,Indonesia,-6.197213,106.872097,nightlife_district,Argentina,solo_female,de,German,2025-03-04,2025-01,2,1.7,Guter Aufenthalt,Urban Lofts passte gut fur eine allein reisende Frau; das Bett war bequem und das Zimmer ruhig wahrend meiner 2 Nachte in Jakarta. Ich blieb 2 Nachte im Urban Lofts und kam spat am Abend an.
MOSTLY_POSITIVE-00008,H4H-REV-04768,SRC-04768,mostly_positive,PROP-0513,Urban House Prague,mid_range_hotel,Prague,Czechia,50.063562,14.425679,waterfront,Mexico,couple,es,Spanish,2025-07-30,2025-05,4,3.6,Experiencia mixta,"Fue manejable para un viaje en pareja, aunque hubo algo de ruido de la calle pero paro mas tarde, algo que marco mi impresion de Urban House Prague. Nada arruino el viaje, pero la experiencia fue mas practica que memorable durante mi reserva de 4 noches en Urban House Prague. Me quede 4 noches en Urban House Prague y llegue cerca de la hora de check-in."
MOSTLY_POSITIVE-00009,H4H-REV-04351,SRC-04351,mostly_positive,PROP-0480,Harbor Rooms,hostel,Jakarta,Indonesia,-6.224632,106.848564,central,France,business,fr,French,2024-07-21,2024-07,1,4.3,Correct dans l'ensemble,"Harbor Rooms convenait pour 1 nuit, meme si je comparerais la prochaine fois pendant mes 1 nuit a Jakarta. Mon idee etait surtout d'utiliser Harbor Rooms entre deux sorties a Jakarta. L'annonce etait globalement exacte, mais certains details etaient differents sur place pendant mes 1 nuit a Jakarta."
MOSTLY_POSITIVE-00010,H4H-REV-05010,SRC-05010,mostly_positive,PROP-0167,Lantern Lofts Cairo,hostel,Cairo,Egypt,30.022864,31.246705,central,United States,solo,pt,Portuguese,2024-07-14,2024-06,1,3.6,Funcionou bem,"A reserva em Lantern Lofts Cairo, Cairo, funcionou sem muita complicacao por 1 noite em Lantern Lofts Cairo. Foi uma estadia de trabalho, com 1 noite em Cairo."
