dataset_review_id,review_id,source_pool_id,scenario,base_seed,effective_seed,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text,topic,sentiment,is_safety_related,safety_category,safety_concern_level,safety_signal,expected_action,labels
BALANCED-00001,H4H-REV-08150,SRC-08150,balanced,20260522,3250943794,PROP-0386,Aster Inn,mid_range_hotel,Berlin,Germany,52.481596,13.371453,suburban,Japan,friends,en,English,2025-09-11,2025-07,8,2.3,Disappointing stay,"I checked in late in the evening and stayed at Aster Inn for 8 nights. Check-in was confusing and poorly coordinated, which shaped my impression of Aster Inn. The issue did not affect my personal safety, but it did lower the comfort of the stay while I was in Berlin for 8 nights.",check_in,negative,false,,none,,,non_safety|check_in|negative
BALANCED-00002,H4H-REV-04374,SRC-04374,balanced,20260522,3250943794,PROP-0531,Terrace House,luxury_hotel,Tokyo,Japan,35.695381,139.640413,central,Belgium,friends,en,English,2024-07-17,2024-07,9,4.6,Mixed experience,"It was manageable for a trip with friends, although service was correct but not very warm, which shaped my impression of Terrace House. This was a short holiday stay, with 9 nights booked at Terrace House.",service,neutral,false,,none,,,non_safety|service|neutral
BALANCED-00003,H4H-REV-08149,SRC-08149,balanced,20260522,3250943794,PROP-0023,Riverside Lodge,mid_range_hotel,Tokyo,Japan,35.679553,139.701392,residential,Argentina,business,ar,Arabic,2024-10-19,2024-09,3,4.3,كان مناسبا,كنت احتاج مكانا موثوقا في Tokyo، وهذا اثر على انطباعي عن Riverside Lodge. كانت الغرفة والحمام نظيفين جدا في Riverside Lodge. هذا نوع المكان الذي قد استخدمه مرة اخرى لزيارة قصيرة خلال اقامة بسبب عمل في Riverside Lodge. كانت خطتي استخدام Riverside Lodge بين الانشطة في Tokyo.,cleanliness,positive,false,,none,,,non_safety|cleanliness|positive
BALANCED-00004,H4H-REV-00778,SRC-00778,balanced,20260522,3250943794,PROP-0277,Nomad Residences,boutique_hotel,Jakarta,Indonesia,-6.175333,106.811599,waterfront,Italy,couple,it,Italian,2025-05-31,2025-04,5,4.0,Soggiorno deludente,"Era un soggiorno per conferenza, con 5 notti a Jakarta. Potevo ignorare piccole cose, ma la posizione era piu lontana dai trasporti di quanto indicato, quindi sono partita delusa durante i miei 5 notti a Jakarta.",location_positive,negative,false,,none,,,non_safety|location_positive|negative
BALANCED-00005,H4H-REV-08253,SRC-08253,balanced,20260522,3250943794,PROP-0509,Terrace Lofts,luxury_hotel,Berlin,Germany,52.532336,13.415970,nightlife_district,Canada,couple,en,English,2025-08-19,2025-07,3,3.0,Could be better,"Terrace Lofts did not match what I expected in Berlin; the bathroom needed a deeper clean for a couple trip in Berlin. I could manage it for a short stay, but I would not choose it again at the same price, which shaped my impression of Terrace Lofts. Most of my plans were outside in Berlin, so Terrace Lofts was mainly a place to reset.",cleanliness,negative,false,,none,,,non_safety|cleanliness|negative
BALANCED-00006,H4H-REV-00471,SRC-00471,balanced,20260522,3250943794,PROP-0617,Cedar Stay,mid_range_hotel,Jakarta,Indonesia,-6.228466,106.843595,central,Argentina,couple,en,English,2024-03-24,2024-01,4,4.2,Worked well enough,"When I messaged about feeling unsafe outside the property, the host dismissed it and did not offer practical help or another check-in option while staying at Cedar Stay. I stayed at Cedar Stay for 4 nights and arrived around check-in time. The situation would have felt better with clearer boundaries and another contact option, which changed how I used Cedar Stay. Other guests may focus on the room, but this changed how comfortable I felt, which changed how I used Cedar Stay. The stay was manageable, but I would not recommend it for solo travelers.",safety_host,positive,true,stay,medium,not_recommended_for_solo_travelers,review_property_safety_features,safety|stay|medium|not_recommended_for_solo_travelers
BALANCED-00007,H4H-REV-01339,SRC-01339,balanced,20260522,3250943794,PROP-0026,Nomad Lofts Copenhagen,boutique_hotel,Copenhagen,Denmark,55.660357,12.575740,nightlife_district,Japan,couple,en,English,2025-05-07,2025-04,6,4.8,Good stay,"I mainly needed a reliable place in Copenhagen, and the room was quiet enough to sleep well at Nomad Lofts Copenhagen. The photos were close to what I found on arrival on this city break stay at Nomad Lofts Copenhagen. Finding Nomad Lofts Copenhagen was straightforward when I arrived around check-in time.",noise,positive,false,,none,,,non_safety|noise|positive
BALANCED-00008,H4H-REV-06023,SRC-06023,balanced,20260522,3250943794,PROP-0171,Orchid Residences,budget_guesthouse,Cairo,Egypt,30.035923,31.228247,central,Argentina,solo_female,fr,French,2024-04-26,2024-03,9,4.5,Mostly fine with one note,"La plupart de mes plans etaient dehors a Cairo, donc Orchid Residences servait surtout a recuperer. L'hote a fait des commentaires personnels inappropries et a voulu deplacer l'arrivee vers un lieu prive pendant mon passage a Orchid Residences. Je ne recommande pas pour une femme seule, et je l'ai davantage remarque pendant ces 9 nuits a Cairo. La situation aurait ete meilleure avec des limites plus claires et un autre contact pendant mon passage a Orchid Residences. Je le partage parce que cela peut beaucoup compter pour les personnes voyageant seules a Orchid Residences. The stay was manageable, but I would not recommend it for solo travelers.",safety_host,positive,true,stay,medium,not_recommended_for_solo_travelers,review_property_safety_features,safety|stay|medium|not_recommended_for_solo_travelers
BALANCED-00009,H4H-REV-06288,SRC-06288,balanced,20260522,3250943794,PROP-0067,Station Stay,luxury_hotel,Jakarta,Indonesia,-6.231716,106.831383,waterfront,Italy,family,en,English,2024-09-26,2024-08,7,4.2,Worked well enough,"Most of my plans were outside in Jakarta, so Station Stay was mainly a place to reset. The host entered the apartment with very little notice while I was inside during my 7 nights stay in Jakarta. It made me uncomfortable and I did not feel I had private space at Station Stay. Most messages were handled through chat, but the tone became too personal for a booking conversation at Station Stay. I felt watched near the entrance and would not stay alone again.",safety_host,positive,true,location,medium,felt_watched,review_location_context,safety|location|medium|felt_watched
BALANCED-00010,H4H-REV-03809,SRC-03809,balanced,20260522,3250943794,PROP-0492,Terrace House Cairo,mid_range_hotel,Cairo,Egypt,30.017664,31.210679,suburban,Australia,friends,en,English,2026-01-27,2026-01,1,4.0,Could be better,"I checked in late in the evening and stayed at Terrace House Cairo for 1 night. I could overlook small things, but service was slow when we needed help, so I left disappointed at Terrace House Cairo.",service,negative,false,,none,,,non_safety|service|negative
