dataset_review_id,review_id,source_pool_id,scenario,base_seed,effective_seed,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text,topic,sentiment,is_safety_related,safety_category,safety_concern_level,safety_signal,expected_action,labels
STAY_FOCUS-00001,H4H-REV-03306,SRC-03306,stay_focus,20260522,431370981,PROP-0507,Terrace Rooms,mid_range_hotel,Amsterdam,Netherlands,52.405122,4.937307,central,Mexico,couple,pt,Portuguese,2024-04-15,2024-02,2,4.9,Nao era o esperado,"O ruido do corredor e da rua dificultou dormir nesta estadia de conferencia em Terrace Rooms. Nao afetou minha seguranca pessoal, mas deixou a estadia menos confortavel, o que marcou minha impressao de Terrace Rooms. Encontrar Terrace Rooms foi simples quando cheguei depois de um trem atrasado. Deu para administrar por uma estadia curta, mas pelo mesmo preco eu nao escolheria de novo durante meus 2 noites em Amsterdam.",noise,negative,false,,none,,,non_safety|noise|negative
STAY_FOCUS-00002,H4H-REV-01271,SRC-01271,stay_focus,20260522,431370981,PROP-0347,Meridian Suites Milan,budget_guesthouse,Milan,Italy,45.449892,9.138110,central,Italy,friends,en,English,2024-11-29,2024-10,2,4.2,Comfortable visit,The booking at Meridian Suites Milan fit 2 nights in Milan without much friction at Meridian Suites Milan. It was the kind of place I would use again for a short visit for a trip with friends in Milan. My main plan was to use Meridian Suites Milan between activities in Milan.,comfort,positive,false,,none,,,non_safety|comfort|positive
STAY_FOCUS-00003,H4H-REV-06631,SRC-06631,stay_focus,20260522,431370981,PROP-0312,Orchid Rooms,mid_range_hotel,New York,United States,40.754871,-74.052366,residential,Netherlands,friends,de,German,2025-01-29,2024-12,8,2.2,Enttauschender Aufenthalt,"Das WLAN brach wahrend des Aufenthalts oft ab, was meinen Eindruck vom Orchid Rooms pragte. Meine personliche Sicherheit war nicht betroffen, aber der Aufenthalt wurde weniger angenehm auf dieser Arbeitsreise im Orchid Rooms. Nach Anzeige und Bewertung hatte ich einen reibungsloseren Aufenthalt erwartet auf dieser Arbeitsreise im Orchid Rooms. Mein Plan war, Orchid Rooms zwischen Terminen in New York zu nutzen.",wifi,negative,false,,none,,,non_safety|wifi|negative
STAY_FOCUS-00004,H4H-REV-04126,SRC-04126,stay_focus,20260522,431370981,PROP-0112,Sol Suites Lisbon,luxury_hotel,Lisbon,Portugal,38.764168,-9.147959,central,Japan,solo_female,en,English,2025-05-05,2025-02,5,3.2,Worked well for the trip,"I mainly needed a reliable place in Lisbon, and the Wi-Fi was reliable for calls and planning at Sol Suites Lisbon. I stayed at Sol Suites Lisbon for 5 nights and arrived after a delayed train. It was the kind of place I would use again for a short visit during my 5 nights booking at Sol Suites Lisbon.",wifi,positive,false,,none,,,non_safety|wifi|positive
STAY_FOCUS-00005,H4H-REV-06322,SRC-06322,stay_focus,20260522,431370981,PROP-0535,Riverside Lofts,budget_guesthouse,Dubai,United Arab Emirates,25.225048,55.220565,suburban,Australia,business,es,Spanish,2025-09-02,2025-08,2,2.7,Sin apoyo cuando me senti insegura,"Cuando escribi diciendo que me sentia insegura fuera del alojamiento, el anfitrion lo minimizo y no ofrecio ayuda practica, algo que cambio como use Riverside Lofts. La situacion habria sido mejor con limites mas claros y otra opcion de contacto, y lo note mas durante 2 noches en Dubai. Reserve Riverside Lofts para un viaje de trabajo y me quede 2 noches. Lo comparto porque puede importar mucho a quienes viajan solas, y lo note mas durante 2 noches en Dubai. The host entered without knocking and I felt physically threatened. I could hear everything through the thin walls and the door didn't lock properly.",safety_host,negative,true,stay,high,thin_walls_bad_lock,review_property_safety_features,safety|stay|high|thin_walls_bad_lock
STAY_FOCUS-00006,H4H-REV-00877,SRC-00877,stay_focus,20260522,431370981,PROP-0556,Vista House,hostel,Seoul,South Korea,37.562926,127.011719,central,Brazil,family,en,English,2025-10-14,2025-08,2,2.7,Not as expected,"My main plan was to use Vista House between activities in Seoul. Vista House did not match what I expected in Seoul; the location was farther from transport than advertised during my 2 nights booking at Vista House. I could manage it for a short stay, but I would not choose it again at the same price at Vista House.",location_positive,negative,false,,none,,,non_safety|location_positive|negative
STAY_FOCUS-00007,H4H-REV-09183,SRC-09183,stay_focus,20260522,431370981,PROP-0546,Terrace Stay Copenhagen,boutique_hotel,Copenhagen,Denmark,55.679331,12.544254,transit_hub,United Kingdom,solo,fr,French,2025-01-29,2025-01,1,4.7,Confortable pour le voyage,"Je cherchais surtout un lieu fiable a Copenhagen, et le petit dejeuner offrait assez d'options fraiches pendant ce sejour de week-end a Terrace Stay Copenhagen. C'etait un sejour de week-end, avec 1 nuit reservees a Terrace Stay Copenhagen. Les photos correspondaient assez bien a ce que j'ai trouve en arrivant pendant mes 1 nuit a Copenhagen.",breakfast,positive,false,,none,,,non_safety|breakfast|positive
STAY_FOCUS-00008,H4H-REV-07244,SRC-07244,stay_focus,20260522,431370981,PROP-0368,Luma Residences,luxury_hotel,Bogotá,Colombia,4.669486,-74.096456,waterfront,Germany,solo_female,es,Spanish,2024-09-29,2024-07,5,1.5,Podria mejorar,"Podria pasar por alto detalles pequenos, pero el check-in fue confuso y mal coordinado, asi que sali decepcionada, algo que marco mi impresion de Luma Residences. Esperaba una estancia mas fluida segun el anuncio y la puntuacion, algo que marco mi impresion de Luma Residences. Hice el check-in cerca de la hora de check-in y me quede 5 noches en Luma Residences.",check_in,negative,false,,none,,,non_safety|check_in|negative
STAY_FOCUS-00009,H4H-REV-08356,SRC-08356,stay_focus,20260522,431370981,PROP-0069,Meridian Stay Rio de Janeiro,hostel,Rio de Janeiro,Brazil,-22.917400,-43.127353,nightlife_district,Mexico,solo,pt,Portuguese,2026-01-09,2025-11,3,2.8,Estadia decepcionante,A ideia era usar Meridian Stay Rio de Janeiro entre compromissos em Rio de Janeiro. Meridian Stay Rio de Janeiro nao correspondeu ao que eu esperava em Rio de Janeiro; o cafe da manha era limitado e acabava cedo em Meridian Stay Rio de Janeiro. O problema apareceu mais de uma vez e afetou a impressao geral para uma viagem solo em Rio de Janeiro.,breakfast,negative,false,,none,,,non_safety|breakfast|negative
STAY_FOCUS-00010,H4H-REV-01830,SRC-01830,stay_focus,20260522,431370981,PROP-0233,Urban Suites Milan,hostel,Milan,Italy,45.424546,9.231870,nightlife_district,Argentina,couple,ar,Arabic,2025-06-23,2025-04,6,2.5,Noisy and exposed at night,سجلت الوصول بعد الظهر وبقيت 6 ليال في Urban Suites Milan. لم يكن قفل الباب يعمل جيدا واضطررت الى دفع الاثاث امام الباب ليلا بينما كنت اقيم في Urban Suites Milan. يجب اصلاح ذلك قبل اقامة اي شخص اخر، وكان مهما في اقامة بسبب عطلة نهاية الاسبوع في Urban Suites Milan. قد تكون الغرفة مناسبة، لكن تفاصيل السلامة الاساسية تحتاج الى اهتمام، ولاحظت ذلك اكثر لانني بقيت 6 ليال في Milan. قد يركز ضيوف اخرون على الغرفة فقط، لكن هذا غير شعوري بالراحة خلال اقامتي لمدة 6 ليال في Milan. The host knocked late at night and kept messaging after I stopped replying. Drunk strangers gathered by the hostel entrance and the noise lasted until 3am.,safety_stay,negative,true,location,high,drunk_strangers_noise_until_3am,review_location_context,safety|location|high|drunk_strangers_noise_until_3am
