dataset_review_id,review_id,source_pool_id,scenario,base_seed,effective_seed,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text,topic,sentiment,is_safety_related,safety_category,safety_concern_level,safety_signal,expected_action,labels
HOST_FOCUS-00001,H4H-REV-03553,SRC-03553,host_focus,20260522,3320893530,PROP-0518,Terrace Lofts London,mid_range_hotel,London,United Kingdom,51.493921,-0.111972,suburban,Japan,solo_female,ar,Arabic,2026-03-15,2026-02,6,2.9,اقامة مخيبة,اقمت 6 ليال في Terrace Lofts London ووصلت بعد قطار متاخر. لم يطابق Terrace Lofts London ما توقعته في London خلال 6 ليال في London. بدت الغرفة غالية مقابل ما تم تقديمه خلال حجزي لمدة 6 ليال في Terrace Lofts London. كان ممكنا تحمله لاقامة قصيرة، لكنني لن اختاره مرة اخرى بنفس السعر، وهذا اثر على انطباعي عن Terrace Lofts London.,value,negative,false,,none,,,non_safety|value|negative
HOST_FOCUS-00002,H4H-REV-02234,SRC-02234,host_focus,20260522,3320893530,PROP-0462,Juniper Inn Amsterdam,mid_range_hotel,Amsterdam,Netherlands,52.378417,4.916106,suburban,United States,friends,nl,Dutch,2025-06-10,2025-05,4,4.6,Niet zoals verwacht,"Kleine dingen kon ik negeren, maar meerdere genoemde voorzieningen ontbraken, dus ik vertrok teleurgesteld tijdens mijn boeking van 4 nachten bij Juniper Inn Amsterdam. Het was een werkverblijf met 4 nachten in Amsterdam. Op basis van de advertentie en score verwachtte ik een soepeler verblijf voor een reis met vrienden in Amsterdam.",amenities,negative,false,,none,,,non_safety|amenities|negative
HOST_FOCUS-00003,H4H-REV-05996,SRC-05996,host_focus,20260522,3320893530,PROP-0089,Terrace Lofts,mid_range_hotel,Tokyo,Japan,35.647364,139.690762,residential,Netherlands,couple,ar,Arabic,2026-04-05,2026-02,1,4.3,اقامة مخيبة,لم يطابق Terrace Lofts ما توقعته في Tokyo بالنسبة الى رحلة لزوجين في Tokyo. كانت عدة مرافق مذكورة في الاعلان غير موجودة خلال اقامة بسبب زيارة مدينة في Terrace Lofts. كانت معظم خططي خارج الغرفة في Tokyo، لذلك كان Terrace Lofts اساسا للراحة.,amenities,negative,false,,none,,,non_safety|amenities|negative
HOST_FOCUS-00004,H4H-REV-08975,SRC-08975,host_focus,20260522,3320893530,PROP-0593,Juniper Residences New York,boutique_hotel,New York,United States,40.690744,-73.974588,suburban,Australia,friends,en,English,2024-05-06,2024-03,4,5.0,Worked well for the trip,"I mainly needed a reliable place in New York, and check-in was smooth and clearly explained during my 4 nights booking at Juniper Residences New York. My main plan was to use Juniper Residences New York between activities in New York.",check_in,positive,false,,none,,,non_safety|check_in|positive
HOST_FOCUS-00005,H4H-REV-08330,SRC-08330,host_focus,20260522,3320893530,PROP-0565,Cobalt Inn,hostel,Paris,France,48.899051,2.343426,nightlife_district,Spain,couple,pt,Portuguese,2024-11-12,2024-10,6,2.0,Nao era o esperado,"Por 6 noites: o Wi-Fi caia varias vezes durante a estadia, e isso prejudicou a impressao geral em Cobalt Inn. Deu para administrar por uma estadia curta, mas pelo mesmo preco eu nao escolheria de novo durante minha reserva de 6 noites em Cobalt Inn. Reservei Cobalt Inn para uma viagem em casal e fiquei 6 noites.",wifi,negative,false,,none,,,non_safety|wifi|negative
HOST_FOCUS-00006,H4H-REV-08800,SRC-08800,host_focus,20260522,3320893530,PROP-0114,Nomad House,budget_guesthouse,Tokyo,Japan,35.632828,139.622195,nightlife_district,Belgium,business,de,German,2025-02-11,2024-12,6,4.9,Kein Notfallkontakt,"Es gab keinen klaren Notfallkontakt und keine Rezeption nach Geschaftsschluss wahrend meines Aufenthalts von 6 Nachte in Tokyo. Fur eine allein reisende Person machte das den Aufenthalt weniger sicher als eine Arbeitsreise im Nomad House. Das Zimmer selbst kann okay sein, aber die grundlegenden Sicherheitsdetails brauchen Aufmerksamkeit, was meine Nutzung von Nomad House veranderte. Die meisten Plane waren draussen in Tokyo, Nomad House war vor allem zum Ausruhen da. Andere Gaste achten vielleicht nur auf das Zimmer, aber das veranderte mein Sicherheitsgefuhl als eine Arbeitsreise im Nomad House. I was followed on the way back and felt physically threatened. The host was too familiar, the walls were thin, and the door didn't lock cleanly.",safety_stay,negative,true,host,high,thin_walls_door_didnt_lock,review_host_or_checkin_process,safety|host|high|thin_walls_door_didnt_lock
HOST_FOCUS-00007,H4H-REV-01025,SRC-01025,host_focus,20260522,3320893530,PROP-0596,Mosaic Stay Tokyo,boutique_hotel,Tokyo,Japan,35.671829,139.627229,transit_hub,United States,friends,pt,Portuguese,2026-04-21,2026-02,8,4.5,Bom para poucos dias,"A maior parte dos planos era fora em Tokyo, entao Mosaic Stay Tokyo serviu mais para descansar. Por 8 noites: a localizacao era pratica, mas sem muito charme, mas a estadia foi mais pratica do que memoravel durante minha reserva de 8 noites em Mosaic Stay Tokyo.",location_positive,neutral,false,,none,,,non_safety|location_positive|neutral
HOST_FOCUS-00008,H4H-REV-04852,SRC-04852,host_focus,20260522,3320893530,PROP-0376,Cobalt Rooms,budget_guesthouse,Jakarta,Indonesia,-6.211533,106.850270,residential,Spain,solo_female,es,Spanish,2024-07-26,2024-05,3,1.7,Buena estancia,"La reserva en Cobalt Rooms, Jakarta, funciono sin demasiada friccion durante 3 noches para una mujer viajando sola en Jakarta. Llegar a Cobalt Rooms fue sencillo cuando llegue por la tarde.",breakfast,positive,false,,none,,,non_safety|breakfast|positive
HOST_FOCUS-00009,H4H-REV-03789,SRC-03789,host_focus,20260522,3320893530,PROP-0558,Station Suites,hostel,Jakarta,Indonesia,-6.241465,106.890360,transit_hub,Italy,solo_female,pt,Portuguese,2024-09-12,2024-07,6,4.2,Good stay overall,"Fiz check-in perto do horario de check-in e fiquei 6 noites em Station Suites. Nao havia contato de emergencia claro nem recepcao fora do horario como uma mulher viajando sozinha em Station Suites. Para uma pessoa viajando sozinha, isso tornou a estadia menos segura, e isso mudou como usei Station Suites. E o tipo de problema que eu gostaria de saber antes de reservar durante minha estadia de 6 noites em Jakarta. The stay was manageable, but I would not recommend it for solo travelers.",safety_stay,positive,true,stay,medium,not_recommended_for_solo_travelers,review_property_safety_features,safety|stay|medium|not_recommended_for_solo_travelers
HOST_FOCUS-00010,H4H-REV-00756,SRC-00756,host_focus,20260522,3320893530,PROP-0516,Terrace Lofts,luxury_hotel,Copenhagen,Denmark,55.716631,12.593530,residential,Brazil,solo_female,es,Spanish,2026-04-17,2026-03,5,4.6,Podria mejorar,"Durante 5 noches, el ruido del pasillo y de la calle dificulto dormir, y eso bajo la impresion general, algo que marco mi impresion de Terrace Lofts. Fue una estancia de trabajo, con 5 noches reservadas en Terrace Lofts. El problema aparecio mas de una vez y afecto la impresion general durante mi reserva de 5 noches en Terrace Lofts.",noise,negative,false,,none,,,non_safety|noise|negative
HOST_FOCUS-00011,H4H-REV-01751,SRC-01751,host_focus,20260522,3320893530,PROP-0596,Mosaic Stay Tokyo,boutique_hotel,Tokyo,Japan,35.671829,139.627229,transit_hub,Spain,business,en,English,2025-09-15,2025-08,2,4.6,Not as expected,"I could overlook small things, but several listed amenities were missing, so I left disappointed while I was in Tokyo for 2 nights. I booked Mosaic Stay Tokyo for a work trip and stayed 2 nights.",amenities,negative,false,,none,,,non_safety|amenities|negative
HOST_FOCUS-00012,H4H-REV-07912,SRC-07912,host_focus,20260522,3320893530,PROP-0532,Orchid Lodge,hostel,New York,United States,40.751587,-74.052291,nightlife_district,Netherlands,business,nl,Dutch,2025-12-01,2025-10,4,3.2,Gemengde ervaring,"Orchid Lodge werkte als basis in New York; de service was correct maar niet erg warm, al zou ik opties in de buurt vergelijken voor een werkreis in New York. Ik boekte Orchid Lodge voor een werkreis en bleef 4 nachten.",service,neutral,false,,none,,,non_safety|service|neutral
HOST_FOCUS-00013,H4H-REV-09168,SRC-09168,host_focus,20260522,3320893530,PROP-0507,Terrace Rooms,mid_range_hotel,Amsterdam,Netherlands,52.405122,4.937307,central,Italy,solo_female,en,English,2024-12-21,2024-10,5,4.5,Disappointing stay,"I booked Terrace Rooms for a woman travelling alone and stayed 5 nights. I could overlook small things, but breakfast was limited and often ran out early, so I left disappointed while I was in Amsterdam for 5 nights.",breakfast,negative,false,,none,,,non_safety|breakfast|negative
HOST_FOCUS-00014,H4H-REV-00110,SRC-00110,host_focus,20260522,3320893530,PROP-0504,Vista Inn,mid_range_hotel,Jakarta,Indonesia,-6.207002,106.866349,suburban,Italy,solo_female,en,English,2024-01-04,2023-11,7,4.9,Good stay overall,"The ground floor window did not close securely and faced a public path at Vista Inn. I felt exposed in the room, especially in the evening at Vista Inn. My main plan was to use Vista Inn between activities in Jakarta. This is the kind of issue I would want to know about before booking while staying at Vista Inn. Other guests may focus on the room, but this changed how comfortable I felt during my 7 nights stay in Jakarta. It is hard to explain but I felt uneasy coming back alone.",safety_stay,positive,true,location,medium,uneasy_returning_alone,review_location_context,safety|location|medium|uneasy_returning_alone
HOST_FOCUS-00015,H4H-REV-02479,SRC-02479,host_focus,20260522,3320893530,PROP-0566,Canal Residences Jakarta,budget_guesthouse,Jakarta,Indonesia,-6.174398,106.835993,nightlife_district,United States,solo_female,it,Italian,2024-10-10,2024-08,2,4.9,Worked well enough,"Ho fatto check-in nel pomeriggio e sono rimasta 2 notti a Canal Residences Jakarta. La serratura della porta non funzionava bene e ho dovuto spingere mobili contro la porta di notte, e questo ha cambiato il modo in cui usavo Canal Residences Jakarta. Va riparata prima di altri soggiorni durante il mio soggiorno di 2 notti a Jakarta. Ho controllato porta e finestra piu di una volta prima di dormire, un dettaglio importante per questo soggiorno per visita in citta a Canal Residences Jakarta. The stay was manageable, but I would not recommend it for solo travelers.",safety_stay,positive,true,stay,medium,not_recommended_for_solo_travelers,review_property_safety_features,safety|stay|medium|not_recommended_for_solo_travelers
HOST_FOCUS-00016,H4H-REV-00630,SRC-00630,host_focus,20260522,3320893530,PROP-0374,Sol House Mexico City,mid_range_hotel,Mexico City,Mexico,19.411235,-99.138484,nightlife_district,Japan,solo_female,en,English,2024-02-06,2024-01,4,3.4,Fine for a short stay,"It was manageable for a woman travelling alone, although cleanliness was acceptable but not perfect on this conference stay at Sol House Mexico City. I stayed at Sol House Mexico City for 4 nights and arrived in the afternoon.",cleanliness,neutral,false,,none,,,non_safety|cleanliness|neutral
