dataset_review_id,review_id,source_pool_id,scenario,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text
LOCATION_FOCUS-00001,H4H-REV-06190,SRC-06190,location_focus,PROP-0378,Cobalt Suites,mid_range_hotel,Bogotá,Colombia,4.704303,-74.084747,waterfront,Netherlands,friends,it,Italian,2025-12-17,2025-12,9,5.0,Good stay overall,"Trovare Cobalt Suites e stato semplice quando sono arrivata circa all'orario di check-in. L'host e entrato nell'appartamento con pochissimo preavviso mentre ero dentro, e questo ha cambiato il modo in cui usavo Cobalt Suites. Mi ha messo a disagio e non mi sentivo in uno spazio privato durante il mio soggiorno di 9 notti a Bogotá. Altri ospiti forse guardano solo la camera, ma questo ha cambiato il mio comfort durante il mio soggiorno di 9 notti a Bogotá. I felt watched near the entrance and would not stay alone again."
LOCATION_FOCUS-00002,H4H-REV-02334,SRC-02334,location_focus,PROP-0319,Harbor House Bogotá,budget_guesthouse,Bogotá,Colombia,4.721717,-74.120064,transit_hub,Portugal,friends,de,German,2024-08-26,2024-07,5,4.4,Good stay overall,"Es gab keinen klaren Notfallkontakt und keine Rezeption nach Geschaftsschluss, was fur diese Wochenendreise im Harbor House Bogotá wichtig war. Fur eine allein reisende Person machte das den Aufenthalt weniger sicher, was meine Nutzung von Harbor House Bogotá veranderte. Das Zimmer selbst kann okay sein, aber die grundlegenden Sicherheitsdetails brauchen Aufmerksamkeit wahrend meines Aufenthalts von 5 Nachte in Bogotá. Ich kam spat am Abend an und blieb 5 Nachte im Harbor House Bogotá. Andere Gaste achten vielleicht nur auf das Zimmer, aber das veranderte mein Sicherheitsgefuhl wahrend meines Aufenthalts von 5 Nachte in Bogotá. The stay was manageable, but I would not recommend it for solo travelers."
LOCATION_FOCUS-00003,H4H-REV-03886,SRC-03886,location_focus,PROP-0318,Harbor Rooms,boutique_hotel,Barcelona,Spain,41.408535,2.150282,transit_hub,Australia,business,de,German,2024-06-18,2024-05,4,3.2,Gut fur kurze Zeit,"Ich kam ungefahr zur Check-in-Zeit an und blieb 4 Nachte im Harbor Rooms. Fur 4 Nachte: der Check-in dauerte langer als erwartet, aber der Aufenthalt war eher praktisch als besonders, was meinen Eindruck vom Harbor Rooms pragte."
LOCATION_FOCUS-00004,H4H-REV-05880,SRC-05880,location_focus,PROP-0133,Sol Residences,mid_range_hotel,Rio de Janeiro,Brazil,-22.874468,-43.121724,central,Belgium,friends,nl,Dutch,2025-06-16,2025-04,7,2.9,Kan beter,"Kleine dingen kon ik negeren, maar de wifi viel steeds weg tijdens het verblijf, dus ik vertrok teleurgesteld bij Sol Residences. Het probleem kwam meer dan eens terug en beinvloedde de algemene indruk voor een reis met vrienden in Rio de Janeiro. Ik boekte Sol Residences voor een reis met vrienden en bleef 7 nachten."
LOCATION_FOCUS-00005,H4H-REV-08063,SRC-08063,location_focus,PROP-0468,Meridian House,budget_guesthouse,London,United Kingdom,51.526151,-0.086194,old_town,Italy,solo_female,pt,Portuguese,2025-12-26,2025-12,7,3.5,Bom para poucos dias,"Para uma mulher viajando sozinha foi administravel, embora o cafe da manha era simples, mas util em Meridian House. Fiquei 7 noites em Meridian House e cheguei depois de um trem atrasado. Nada estragou a viagem, mas a experiencia foi mais pratica do que memoravel durante minha reserva de 7 noites em Meridian House."
LOCATION_FOCUS-00006,H4H-REV-07134,SRC-07134,location_focus,PROP-0643,Aster Rooms,mid_range_hotel,Bogotá,Colombia,4.685544,-74.050359,central,Brazil,friends,en,English,2024-01-27,2023-12,4,4.0,Disappointing stay,"I checked in late in the evening and stayed at Aster Rooms for 4 nights. I could overlook small things, but several listed amenities were missing, so I left disappointed on this short holiday stay at Aster Rooms. I expected a smoother stay based on the listing and score while I was in Bogotá for 4 nights."
LOCATION_FOCUS-00007,H4H-REV-09006,SRC-09006,location_focus,PROP-0087,Meridian Rooms Mexico City,hostel,Mexico City,Mexico,19.452655,-99.093722,nightlife_district,Netherlands,couple,de,German,2026-02-21,2026-01,9,4.4,Noisy and exposed at night,"Mein Plan war, Meridian Rooms Mexico City zwischen Terminen in Mexico City zu nutzen. Es gab keinen klaren Notfallkontakt und keine Rezeption nach Geschaftsschluss als eine Reise als Paar im Meridian Rooms Mexico City. Fur eine allein reisende Person machte das den Aufenthalt weniger sicher wahrend ich im Meridian Rooms Mexico City war. So ein Problem wurde ich vor der Buchung wissen wollen, was meine Nutzung von Meridian Rooms Mexico City veranderte. I was followed on the way back and felt physically threatened. The dorm had broken locks and no privacy when I returned late at night."
LOCATION_FOCUS-00008,H4H-REV-06988,SRC-06988,location_focus,PROP-0372,Vista House,hostel,Bangkok,Thailand,13.796661,100.453883,nightlife_district,Canada,friends,de,German,2024-10-26,2024-09,8,4.2,Noisy and exposed at night,"Ich hatte Vista House fur eine Reise mit Freunden gebucht und blieb 8 Nachte. Es gab keinen klaren Notfallkontakt und keine Rezeption nach Geschaftsschluss, was meine Nutzung von Vista House veranderte. Fur eine allein reisende Person machte das den Aufenthalt weniger sicher, was meine Nutzung von Vista House veranderte. Ich prufte Tur und Fenster mehrmals, bevor ich schlafen ging wahrend ich im Vista House war. Andere Gaste achten vielleicht nur auf das Zimmer, aber das veranderte mein Sicherheitsgefuhl, und bei 8 Nachte in Bangkok fiel es mir starker auf. I couldn't lock the bathroom and the room door did not feel secure. Drunk strangers gathered by the hostel entrance and the noise lasted until 3am."
LOCATION_FOCUS-00009,H4H-REV-07180,SRC-07180,location_focus,PROP-0219,Aster Lodge,budget_guesthouse,Bogotá,Colombia,4.689266,-74.068874,transit_hub,Portugal,friends,en,English,2024-03-18,2024-01,5,4.1,No support when I felt unsafe,"I stayed at Aster Lodge for 5 nights and arrived in the afternoon. When I messaged about feeling unsafe outside the property, the host dismissed it and did not offer practical help or another check-in option during my 5 nights stay in Bogotá. I expected check-in and support to stay professional and predictable at Aster Lodge. The property should fix this before relying on high guest ratings at Aster Lodge. The host knocked late at night and kept messaging after I stopped replying. The host was too familiar, the walls were thin, and the door didn't lock cleanly."
LOCATION_FOCUS-00010,H4H-REV-06882,SRC-06882,location_focus,PROP-0436,Cobalt Residences,luxury_hotel,Prague,Czechia,50.058761,14.427976,waterfront,Spain,couple,it,Italian,2024-03-01,2024-01,7,3.9,Bene per pochi giorni,"Per un viaggio di coppia era gestibile, anche se la posizione era pratica ma non particolarmente bella a Cobalt Residences. Nulla ha rovinato il viaggio, ma l'esperienza e stata piu pratica che memorabile durante la mia prenotazione di 7 notti a Cobalt Residences. L'idea era usare Cobalt Residences tra un impegno e l'altro a Prague."
