dataset_review_id,review_id,source_pool_id,scenario,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text
SAFETY_HEAVY-00001,H4H-REV-09519,SRC-09519,safety_heavy,PROP-0391,Terrace Lofts Seoul,boutique_hotel,Seoul,South Korea,37.553642,126.990113,central,Portugal,solo_female,ar,Arabic,2025-10-18,2025-08,7,2.8,اقامة مخيبة,كان الحمام يحتاج الى تنظيف اعمق بالنسبة الى امراة تسافر وحدها في Seoul. خلال 7 ليال اثر ذلك على الانطباع العام خلال اقامة بسبب زيارة مدينة في Terrace Lofts Seoul. سجلت الوصول بعد الظهر وبقيت 7 ليال في Terrace Lofts Seoul. ظهر هذا الامر اكثر من مرة واثر على الانطباع العام في Terrace Lofts Seoul.
SAFETY_HEAVY-00002,H4H-REV-04507,SRC-04507,safety_heavy,PROP-0033,Terrace Lodge London,mid_range_hotel,London,United Kingdom,51.496367,-0.172181,old_town,Germany,solo_female,en,English,2025-10-16,2025-08,9,2.6,Could be better,"I checked in after a delayed train and stayed at Terrace Lodge London for 9 nights. The location was farther from transport than advertised, which shaped my impression of Terrace Lodge London. The issue did not affect my personal safety, but it did lower the comfort of the stay while I was in London for 9 nights. I could manage it for a short stay, but I would not choose it again at the same price on this conference stay at Terrace Lodge London."
SAFETY_HEAVY-00003,H4H-REV-00889,SRC-00889,safety_heavy,PROP-0099,Aster Inn,mid_range_hotel,Bogotá,Colombia,4.750884,-74.036892,nightlife_district,Spain,business,it,Italian,2025-03-05,2024-12,4,4.0,Esperienza mista,"Aster Inn andava bene per 4 notti, anche se confronterei altre opzioni per un viaggio di lavoro a Bogotá. L'annuncio era in gran parte corretto, ma alcuni dettagli erano diversi dal vivo in questo soggiorno per weekend a Aster Inn. Sono rimasta 4 notti a Aster Inn e sono arrivata tardi la sera."
SAFETY_HEAVY-00004,H4H-REV-02612,SRC-02612,safety_heavy,PROP-0335,Juniper House,budget_guesthouse,Tokyo,Japan,35.715904,139.638290,old_town,Germany,couple,de,German,2025-08-05,2025-08,7,4.5,Hat gut gepasst,"Die Buchung im Juniper House in Tokyo funktionierte fur 7 Nachte ohne viel Aufwand, was meinen Eindruck vom Juniper House pragte. Kleine Dinge wie klare Hinweise und ein ordentliches Zimmer machten den Aufenthalt einfach wahrend meiner Buchung von 7 Nachte im Juniper House. Ich hatte Juniper House fur eine Reise als Paar gebucht und blieb 7 Nachte."
SAFETY_HEAVY-00005,H4H-REV-04586,SRC-04586,safety_heavy,PROP-0595,Riverside Lofts,boutique_hotel,Paris,France,48.855453,2.349815,waterfront,India,friends,it,Italian,2025-08-14,2025-07,8,4.1,Comodo per il viaggio,"Trovare Riverside Lofts e stato semplice quando sono arrivata circa all'orario di check-in. La prenotazione a Riverside Lofts, Paris, ha funzionato senza troppi intoppi per 8 notti a Riverside Lofts. Le foto erano abbastanza vicine a cio che ho trovato all'arrivo a Riverside Lofts."
SAFETY_HEAVY-00006,H4H-REV-05290,SRC-05290,safety_heavy,PROP-0515,Station Lodge,boutique_hotel,Cairo,Egypt,30.067968,31.246913,waterfront,Italy,couple,es,Spanish,2024-08-10,2024-07,4,3.9,Podria mejorar,"La mayor parte del viaje fue fuera, asi que Station Lodge fue mas un punto de descanso en Cairo. Durante 4 noches, el check-in fue confuso y mal coordinado, y eso bajo la impresion general en Station Lodge. Esperaba una estancia mas fluida segun el anuncio y la puntuacion durante mi reserva de 4 noches en Station Lodge."
SAFETY_HEAVY-00007,H4H-REV-07863,SRC-07863,safety_heavy,PROP-0153,Sol Lofts,mid_range_hotel,Copenhagen,Denmark,55.672044,12.561583,transit_hub,Mexico,family,en,English,2024-08-22,2024-08,6,4.8,Fine for a short stay,"Sol Lofts was workable for 6 nights, although I would compare options next time for a family trip in Copenhagen. I booked Sol Lofts for a family trip and stayed 6 nights."
SAFETY_HEAVY-00008,H4H-REV-07392,SRC-07392,safety_heavy,PROP-0589,Meridian Lodge Lisbon,boutique_hotel,Lisbon,Portugal,38.677535,-9.137037,suburban,Germany,solo_female,ar,Arabic,2026-03-10,2025-12,6,3.4,كان مناسبا,كان الافطار يحتوي على خيارات طازجة كافية، وهذا اثر على انطباعي عن Meridian Lodge Lisbon. خلال 6 ليال في Lisbon بقيت التجربة مريحة خلال اقامة بسبب عطلة نهاية الاسبوع في Meridian Lodge Lisbon. هذا نوع المكان الذي قد استخدمه مرة اخرى لزيارة قصيرة في Meridian Lodge Lisbon. سجلت الوصول قرب وقت تسجيل الوصول وبقيت 6 ليال في Meridian Lodge Lisbon.
SAFETY_HEAVY-00009,H4H-REV-02144,SRC-02144,safety_heavy,PROP-0244,Orchid Lodge,mid_range_hotel,Milan,Italy,45.459174,9.208304,nightlife_district,Germany,couple,ar,Arabic,2025-04-20,2025-02,3,2.1,ليس كما توقعت,لم يطابق Orchid Lodge ما توقعته في Milan خلال 3 ليال في Milan. كان الفراش والوسائد غير مريحة في Orchid Lodge. حجزت Orchid Lodge من اجل رحلة لزوجين وبقيت 3 ليال. ظهر هذا الامر اكثر من مرة واثر على الانطباع العام خلال 3 ليال في Milan.
SAFETY_HEAVY-00010,H4H-REV-02938,SRC-02938,safety_heavy,PROP-0055,Juniper House,mid_range_hotel,Bogotá,Colombia,4.715963,-74.092667,old_town,India,family,it,Italian,2026-03-13,2026-03,1,4.4,Bene per pochi giorni,"Juniper House e servita come base a Bogotá; la camera andava bene per alcune notti, anche se confronterei opzioni vicine, cosa che ha influenzato la mia impressione di Juniper House. Nulla ha rovinato il viaggio, ma l'esperienza e stata piu pratica che memorabile in questo soggiorno per conferenza a Juniper House. Era un soggiorno per conferenza, con 1 notte a Bogotá."
SAFETY_HEAVY-00011,H4H-REV-01477,SRC-01477,safety_heavy,PROP-0395,Canal Lofts,boutique_hotel,Mexico City,Mexico,19.393593,-99.138473,nightlife_district,Belgium,family,nl,Dutch,2024-08-13,2024-07,4,3.8,Paste goed bij de reis,"Voor 4 nachten in Mexico City: de kamer was rustig genoeg om goed te slapen, en het verblijf bleef eenvoudig tijdens mijn boeking van 4 nachten bij Canal Lofts. De foto's kwamen goed overeen met wat ik bij aankomst aantrof bij Canal Lofts. De meeste plannen waren buiten in Mexico City, dus Canal Lofts was vooral om bij te komen."
SAFETY_HEAVY-00012,H4H-REV-01110,SRC-01110,safety_heavy,PROP-0244,Orchid Lodge,mid_range_hotel,Milan,Italy,45.459174,9.208304,nightlife_district,Germany,solo_female,de,German,2024-01-22,2023-11,6,2.4,Konnte besser sein,"Ich blieb 6 Nachte im Orchid Lodge und kam ungefahr zur Check-in-Zeit an. Fur 6 Nachte: das Bad brauchte eine grundlichere Reinigung, und das druckte den Gesamteindruck fur eine allein reisende Frau in Milan. Nach Anzeige und Bewertung hatte ich einen reibungsloseren Aufenthalt erwartet auf dieser Konferenzreise im Orchid Lodge."
SAFETY_HEAVY-00013,H4H-REV-05729,SRC-05729,safety_heavy,PROP-0031,Lantern Suites,boutique_hotel,Lisbon,Portugal,38.720222,-9.168086,waterfront,France,solo_female,nl,Dutch,2025-06-15,2025-05,2,3.2,Gedrag van host voelde ongepast,"De host maakte persoonlijke opmerkingen en wilde de check-in naar een priveplek verplaatsen bij Lantern Suites. Ik zou dit niet aanraden voor vrouwen die alleen reizen, waardoor ik Lantern Suites anders gebruikte. De meeste plannen waren buiten in Lisbon, dus Lantern Suites was vooral om bij te komen. De situatie had beter gevoeld met duidelijkere grenzen en een extra contactoptie terwijl ik bij Lantern Suites verbleef. Ik deel dit omdat het voor soloreizigers veel kan uitmaken bij Lantern Suites. The host entered without knocking and I felt physically threatened. One staff member made me uneasy, though nothing explicit happened."
SAFETY_HEAVY-00014,H4H-REV-08198,SRC-08198,safety_heavy,PROP-0157,Vista Rooms,budget_guesthouse,Mexico City,Mexico,19.409053,-99.158497,nightlife_district,Germany,solo_female,nl,Dutch,2024-01-07,2023-12,9,3.2,Goed verblijf,Vista Rooms werkte goed voor een vrouw die alleen reist; de kamer en badkamer waren erg schoon tijdens mijn 9 nachten in Mexico City. Ik checkte in de middag in en bleef 9 nachten bij Vista Rooms.
SAFETY_HEAVY-00015,H4H-REV-01286,SRC-01286,safety_heavy,PROP-0419,Lantern Stay,hostel,Tokyo,Japan,35.664200,139.630416,nightlife_district,France,friends,en,English,2025-10-13,2025-08,5,4.5,Not as expected,Lantern Stay did not match what I expected in Tokyo; several listed amenities were missing at Lantern Stay. I expected a smoother stay based on the listing and score during my 5 nights booking at Lantern Stay. I checked in around check-in time and stayed at Lantern Stay for 5 nights.
SAFETY_HEAVY-00016,H4H-REV-03658,SRC-03658,safety_heavy,PROP-0512,Canal Stay Bogotá,boutique_hotel,Bogotá,Colombia,4.723644,-74.017421,suburban,Japan,family,en,English,2024-05-07,2024-03,5,5.0,Mostly fine with one note,"I stayed at Canal Stay Bogotá for 5 nights and arrived late in the evening. The host made personal comments that felt inappropriate and tried to move check-in to a private meeting point, and I noticed it more during 5 nights in Bogotá. I would not recommend this for women travelling alone as a family trip at Canal Stay Bogotá. Most messages were handled through chat, but the tone became too personal for a booking conversation while staying at Canal Stay Bogotá. I am sharing this because it may matter a lot for solo travellers, which mattered for this conference stay at Canal Stay Bogotá. The stay was manageable, but I would not recommend it for solo travelers."
SAFETY_HEAVY-00017,H4H-REV-01993,SRC-01993,safety_heavy,PROP-0358,Aster Inn,mid_range_hotel,Barcelona,Spain,41.410028,2.127567,nightlife_district,France,couple,en,English,2024-06-07,2024-05,1,2.7,Not as expected,"Aster Inn did not match what I expected in Barcelona; service was slow when we needed help during my 1 night booking at Aster Inn. I could manage it for a short stay, but I would not choose it again at the same price on this short holiday stay at Aster Inn. This was a short holiday stay, with 1 night booked at Aster Inn."
SAFETY_HEAVY-00018,H4H-REV-05356,SRC-05356,safety_heavy,PROP-0397,Orchid Rooms Tokyo,boutique_hotel,Tokyo,Japan,35.664057,139.649045,old_town,Belgium,family,en,English,2025-06-16,2025-04,8,4.7,Worked well for the trip,"I mainly needed a reliable place in Tokyo, and the amenities matched the listing during my 8 nights booking at Orchid Rooms Tokyo. The photos were close to what I found on arrival during my 8 nights booking at Orchid Rooms Tokyo. My main plan was to use Orchid Rooms Tokyo between activities in Tokyo."
SAFETY_HEAVY-00019,H4H-REV-00294,SRC-00294,safety_heavy,PROP-0346,Juniper Lofts,budget_guesthouse,Copenhagen,Denmark,55.705379,12.531399,suburban,Spain,couple,en,English,2025-03-06,2025-02,6,4.3,Disappointing stay,"Noise from the hallway and street made it hard to sleep at Juniper Lofts. The issue did not affect my personal safety, but it did lower the comfort of the stay, which shaped my impression of Juniper Lofts. My main plan was to use Juniper Lofts between activities in Copenhagen."
SAFETY_HEAVY-00020,H4H-REV-07354,SRC-07354,safety_heavy,PROP-0582,Meridian Stay,mid_range_hotel,Mexico City,Mexico,19.421618,-99.146248,transit_hub,United Kingdom,friends,it,Italian,2025-08-15,2025-06,5,4.2,Bene per pochi giorni,"Ho fatto check-in dopo un treno in ritardo e sono rimasta 5 notti a Meridian Stay. Per 5 notti: la camera andava bene per alcune notti, ma il soggiorno e stato piu pratico che memorabile, cosa che ha influenzato la mia impressione di Meridian Stay."
SAFETY_HEAVY-00021,H4H-REV-06496,SRC-06496,safety_heavy,PROP-0388,Sol Lodge Cairo,mid_range_hotel,Cairo,Egypt,30.054185,31.204584,nightlife_district,France,solo_female,it,Italian,2026-01-03,2025-10,4,4.4,Non come previsto,"Per 4 notti: il servizio era lento quando serviva aiuto, e questo ha peggiorato l'impressione generale durante la mia prenotazione di 4 notti a Sol Lodge Cairo. Per un soggiorno breve si poteva gestire, ma allo stesso prezzo non lo sceglierei di nuovo durante la mia prenotazione di 4 notti a Sol Lodge Cairo. L'idea era usare Sol Lodge Cairo tra un impegno e l'altro a Cairo."
SAFETY_HEAVY-00022,H4H-REV-00235,SRC-00235,safety_heavy,PROP-0336,Canal Lofts Cairo,hostel,Cairo,Egypt,30.053738,31.239709,nightlife_district,India,solo,en,English,2024-08-07,2024-05,9,4.0,Good stay overall,"I checked in late in the evening and stayed at Canal Lofts Cairo for 9 nights. There were repeated comments from people outside the building entrance during my 9 nights stay in Cairo. The room was fine, but the location made me feel exposed every time I came back as a solo trip at Canal Lofts Cairo. I would have appreciated clearer information about the immediate area before booking during my 9 nights stay in Cairo. Other guests may focus on the room, but this changed how comfortable I felt, and I noticed it more during 9 nights in Cairo. It is hard to explain but I felt uneasy coming back alone."
SAFETY_HEAVY-00023,H4H-REV-05746,SRC-05746,safety_heavy,PROP-0587,Harbor Rooms Tokyo,mid_range_hotel,Tokyo,Japan,35.688417,139.601761,suburban,India,solo,de,German,2025-05-23,2025-03,2,4.4,Gemischte Erfahrung,"Fur 2 Nachte: es gab etwas Strassenlarm, der spater nachliess, aber der Aufenthalt war eher praktisch als besonders im Harbor Rooms Tokyo. Die Grundlagen waren vorhanden, aber besonders gepflegt wirkte es nicht fur eine Soloreise in Tokyo. Ich blieb 2 Nachte im Harbor Rooms Tokyo und kam spat am Abend an."
