dataset_review_id,review_id,source_pool_id,scenario,base_seed,effective_seed,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text,topic,sentiment,is_safety_related,safety_category,safety_concern_level,safety_signal,expected_action,labels
SAFETY_HEAVY-00001,H4H-REV-09519,SRC-09519,safety_heavy,20260522,2972123241,PROP-0391,Terrace Lofts Seoul,boutique_hotel,Seoul,South Korea,37.553642,126.990113,central,Portugal,solo_female,ar,Arabic,2025-10-18,2025-08,7,2.8,اقامة مخيبة,كان الحمام يحتاج الى تنظيف اعمق بالنسبة الى امراة تسافر وحدها في Seoul. خلال 7 ليال اثر ذلك على الانطباع العام خلال اقامة بسبب زيارة مدينة في Terrace Lofts Seoul. سجلت الوصول بعد الظهر وبقيت 7 ليال في Terrace Lofts Seoul. ظهر هذا الامر اكثر من مرة واثر على الانطباع العام في Terrace Lofts Seoul.,cleanliness,negative,false,,none,,,non_safety|cleanliness|negative
SAFETY_HEAVY-00002,H4H-REV-04507,SRC-04507,safety_heavy,20260522,2972123241,PROP-0033,Terrace Lodge London,mid_range_hotel,London,United Kingdom,51.496367,-0.172181,old_town,Germany,solo_female,en,English,2025-10-16,2025-08,9,2.6,Could be better,"I checked in after a delayed train and stayed at Terrace Lodge London for 9 nights. The location was farther from transport than advertised, which shaped my impression of Terrace Lodge London. The issue did not affect my personal safety, but it did lower the comfort of the stay while I was in London for 9 nights. I could manage it for a short stay, but I would not choose it again at the same price on this conference stay at Terrace Lodge London.",location_positive,negative,false,,none,,,non_safety|location_positive|negative
SAFETY_HEAVY-00003,H4H-REV-00889,SRC-00889,safety_heavy,20260522,2972123241,PROP-0099,Aster Inn,mid_range_hotel,Bogotá,Colombia,4.750884,-74.036892,nightlife_district,Spain,business,it,Italian,2025-03-05,2024-12,4,4.0,Esperienza mista,"Aster Inn andava bene per 4 notti, anche se confronterei altre opzioni per un viaggio di lavoro a Bogotá. L'annuncio era in gran parte corretto, ma alcuni dettagli erano diversi dal vivo in questo soggiorno per weekend a Aster Inn. Sono rimasta 4 notti a Aster Inn e sono arrivata tardi la sera.",comfort,neutral,false,,none,,,non_safety|comfort|neutral
SAFETY_HEAVY-00004,H4H-REV-02612,SRC-02612,safety_heavy,20260522,2972123241,PROP-0335,Juniper House,budget_guesthouse,Tokyo,Japan,35.715904,139.638290,old_town,Germany,couple,de,German,2025-08-05,2025-08,7,4.5,Hat gut gepasst,"Die Buchung im Juniper House in Tokyo funktionierte fur 7 Nachte ohne viel Aufwand, was meinen Eindruck vom Juniper House pragte. Kleine Dinge wie klare Hinweise und ein ordentliches Zimmer machten den Aufenthalt einfach wahrend meiner Buchung von 7 Nachte im Juniper House. Ich hatte Juniper House fur eine Reise als Paar gebucht und blieb 7 Nachte.",comfort,positive,false,,none,,,non_safety|comfort|positive
SAFETY_HEAVY-00005,H4H-REV-04586,SRC-04586,safety_heavy,20260522,2972123241,PROP-0595,Riverside Lofts,boutique_hotel,Paris,France,48.855453,2.349815,waterfront,India,friends,it,Italian,2025-08-14,2025-07,8,4.1,Comodo per il viaggio,"Trovare Riverside Lofts e stato semplice quando sono arrivata circa all'orario di check-in. La prenotazione a Riverside Lofts, Paris, ha funzionato senza troppi intoppi per 8 notti a Riverside Lofts. Le foto erano abbastanza vicine a cio che ho trovato all'arrivo a Riverside Lofts.",amenities,positive,false,,none,,,non_safety|amenities|positive
SAFETY_HEAVY-00006,H4H-REV-05290,SRC-05290,safety_heavy,20260522,2972123241,PROP-0515,Station Lodge,boutique_hotel,Cairo,Egypt,30.067968,31.246913,waterfront,Italy,couple,es,Spanish,2024-08-10,2024-07,4,3.9,Podria mejorar,"La mayor parte del viaje fue fuera, asi que Station Lodge fue mas un punto de descanso en Cairo. Durante 4 noches, el check-in fue confuso y mal coordinado, y eso bajo la impresion general en Station Lodge. Esperaba una estancia mas fluida segun el anuncio y la puntuacion durante mi reserva de 4 noches en Station Lodge.",check_in,negative,false,,none,,,non_safety|check_in|negative
SAFETY_HEAVY-00007,H4H-REV-07863,SRC-07863,safety_heavy,20260522,2972123241,PROP-0153,Sol Lofts,mid_range_hotel,Copenhagen,Denmark,55.672044,12.561583,transit_hub,Mexico,family,en,English,2024-08-22,2024-08,6,4.8,Fine for a short stay,"Sol Lofts was workable for 6 nights, although I would compare options next time for a family trip in Copenhagen. I booked Sol Lofts for a family trip and stayed 6 nights.",service,neutral,false,,none,,,non_safety|service|neutral
SAFETY_HEAVY-00008,H4H-REV-07392,SRC-07392,safety_heavy,20260522,2972123241,PROP-0589,Meridian Lodge Lisbon,boutique_hotel,Lisbon,Portugal,38.677535,-9.137037,suburban,Germany,solo_female,ar,Arabic,2026-03-10,2025-12,6,3.4,كان مناسبا,كان الافطار يحتوي على خيارات طازجة كافية، وهذا اثر على انطباعي عن Meridian Lodge Lisbon. خلال 6 ليال في Lisbon بقيت التجربة مريحة خلال اقامة بسبب عطلة نهاية الاسبوع في Meridian Lodge Lisbon. هذا نوع المكان الذي قد استخدمه مرة اخرى لزيارة قصيرة في Meridian Lodge Lisbon. سجلت الوصول قرب وقت تسجيل الوصول وبقيت 6 ليال في Meridian Lodge Lisbon.,breakfast,positive,false,,none,,,non_safety|breakfast|positive
SAFETY_HEAVY-00009,H4H-REV-02144,SRC-02144,safety_heavy,20260522,2972123241,PROP-0244,Orchid Lodge,mid_range_hotel,Milan,Italy,45.459174,9.208304,nightlife_district,Germany,couple,ar,Arabic,2025-04-20,2025-02,3,2.1,ليس كما توقعت,لم يطابق Orchid Lodge ما توقعته في Milan خلال 3 ليال في Milan. كان الفراش والوسائد غير مريحة في Orchid Lodge. حجزت Orchid Lodge من اجل رحلة لزوجين وبقيت 3 ليال. ظهر هذا الامر اكثر من مرة واثر على الانطباع العام خلال 3 ليال في Milan.,comfort,negative,false,,none,,,non_safety|comfort|negative
SAFETY_HEAVY-00010,H4H-REV-02938,SRC-02938,safety_heavy,20260522,2972123241,PROP-0055,Juniper House,mid_range_hotel,Bogotá,Colombia,4.715963,-74.092667,old_town,India,family,it,Italian,2026-03-13,2026-03,1,4.4,Bene per pochi giorni,"Juniper House e servita come base a Bogotá; la camera andava bene per alcune notti, anche se confronterei opzioni vicine, cosa che ha influenzato la mia impressione di Juniper House. Nulla ha rovinato il viaggio, ma l'esperienza e stata piu pratica che memorabile in questo soggiorno per conferenza a Juniper House. Era un soggiorno per conferenza, con 1 notte a Bogotá.",comfort,neutral,false,,none,,,non_safety|comfort|neutral
