dataset_review_id,review_id,source_pool_id,scenario,base_seed,effective_seed,property_id,property_name,accommodation_type,city,country,latitude,longitude,area_type,reviewer_country,traveler_type,language,language_name,review_date,stay_month,nights,rating,review_title,review_text,topic,sentiment,is_safety_related,safety_category,safety_concern_level,safety_signal,expected_action,labels
MOSTLY_POSITIVE-00001,H4H-REV-01595,SRC-01595,high_risk,20260522,1503027496,PROP-0003,Cobalt Inn Bogotá,hostel,Bogotá,Colombia,4.679555,-74.044789,nightlife_district,India,couple,es,Spanish,2024-09-02,2024-07,9,4.6,Buena estancia,Cobalt Inn Bogotá funciono bien para un viaje en pareja; la habitacion fue bastante silenciosa para dormir bien en esta estancia de trabajo en Cobalt Inn Bogotá. Me quede 9 noches en Cobalt Inn Bogotá y llegue tarde por la noche. Las fotos se parecian bastante a lo que encontre al llegar para un viaje en pareja en Bogotá.,noise,positive,false,,none,,,non_safety|noise|positive
MOSTLY_POSITIVE-00002,H4H-REV-04444,SRC-04444,mostly_positive,20260522,1503027496,PROP-0045,Vista Rooms Tokyo,mid_range_hotel,Tokyo,Japan,35.652890,139.701006,nightlife_district,United Kingdom,business,es,Spanish,2024-03-01,2024-02,9,4.8,No era lo esperado,"La mayor parte del viaje fue fuera, asi que Vista Rooms Tokyo fue mas un punto de descanso en Tokyo. La ubicacion estaba mas lejos del transporte de lo anunciado en esta estancia de conferencia en Vista Rooms Tokyo. No afecto mi seguridad personal, pero si hizo la estancia menos comoda mientras estaba 9 noches en Tokyo. Esperaba una estancia mas fluida segun el anuncio y la puntuacion en esta estancia de conferencia en Vista Rooms Tokyo.",location_positive,negative,false,,none,,,non_safety|location_positive|negative
MOSTLY_POSITIVE-00003,H4H-REV-06045,SRC-06045,mostly_positive,20260522,1503027496,PROP-0294,Orchid Stay,boutique_hotel,Tokyo,Japan,35.712088,139.623483,nightlife_district,Japan,business,en,English,2025-12-11,2025-11,9,4.7,Good stay,"Finding Orchid Stay was straightforward when I arrived after a delayed train. For 9 nights in Tokyo, the room was quiet enough to sleep well, and the stay felt straightforward during my 9 nights booking at Orchid Stay. The photos were close to what I found on arrival, which shaped my impression of Orchid Stay.",noise,positive,false,,none,,,non_safety|noise|positive
MOSTLY_POSITIVE-00004,H4H-REV-05677,SRC-05677,mostly_positive,20260522,1503027496,PROP-0437,Lantern Suites Cairo,hostel,Cairo,Egypt,30.047836,31.260889,nightlife_district,Argentina,solo_female,de,German,2024-06-24,2024-05,6,1.8,Guter Aufenthalt,Ich blieb 6 Nachte im Lantern Suites Cairo und kam nach einem verspateten Zug an. Lantern Suites Cairo passte gut fur eine allein reisende Frau; die Ausstattung entsprach der Anzeige wahrend meiner Buchung von 6 Nachte im Lantern Suites Cairo.,amenities,positive,false,,none,,,non_safety|amenities|positive
MOSTLY_POSITIVE-00005,H4H-REV-04162,SRC-04162,mostly_positive,20260522,1503027496,PROP-0510,Orchid Suites Milan,mid_range_hotel,Milan,Italy,45.433363,9.223430,nightlife_district,Italy,couple,pt,Portuguese,2026-03-30,2026-02,8,4.8,Confortavel para a viagem,"A reserva em Orchid Suites Milan, Milan, funcionou sem muita complicacao por 8 noites em Orchid Suites Milan. Fiz check-in depois de um trem atrasado e fiquei 8 noites em Orchid Suites Milan.",cleanliness,positive,false,,none,,,non_safety|cleanliness|positive
MOSTLY_POSITIVE-00006,H4H-REV-03347,SRC-03347,mostly_positive,20260522,1503027496,PROP-0179,Juniper House,boutique_hotel,Prague,Czechia,50.037654,14.432771,residential,Belgium,solo_female,en,English,2024-09-30,2024-09,9,4.2,Comfortable visit,"This was a city break stay, with 9 nights booked at Juniper House. Juniper House worked well for a woman travelling alone; check-in was smooth and clearly explained while I was in Prague for 9 nights. Small things like clear instructions and a tidy room made the stay easy while I was in Prague for 9 nights.",check_in,positive,false,,none,,,non_safety|check_in|positive
MOSTLY_POSITIVE-00007,H4H-REV-02566,SRC-02566,mostly_positive,20260522,1503027496,PROP-0350,Urban Lofts,hostel,Jakarta,Indonesia,-6.197213,106.872097,nightlife_district,Argentina,solo_female,de,German,2025-03-04,2025-01,2,1.7,Guter Aufenthalt,Urban Lofts passte gut fur eine allein reisende Frau; das Bett war bequem und das Zimmer ruhig wahrend meiner 2 Nachte in Jakarta. Ich blieb 2 Nachte im Urban Lofts und kam spat am Abend an.,comfort,positive,false,,none,,,non_safety|comfort|positive
MOSTLY_POSITIVE-00008,H4H-REV-04768,SRC-04768,mostly_positive,20260522,1503027496,PROP-0513,Urban House Prague,mid_range_hotel,Prague,Czechia,50.063562,14.425679,waterfront,Mexico,couple,es,Spanish,2025-07-30,2025-05,4,3.6,Experiencia mixta,"Fue manejable para un viaje en pareja, aunque hubo algo de ruido de la calle pero paro mas tarde, algo que marco mi impresion de Urban House Prague. Nada arruino el viaje, pero la experiencia fue mas practica que memorable durante mi reserva de 4 noches en Urban House Prague. Me quede 4 noches en Urban House Prague y llegue cerca de la hora de check-in.",noise,neutral,false,,none,,,non_safety|noise|neutral
MOSTLY_POSITIVE-00009,H4H-REV-04351,SRC-04351,mostly_positive,20260522,1503027496,PROP-0480,Harbor Rooms,hostel,Jakarta,Indonesia,-6.224632,106.848564,central,France,business,fr,French,2024-07-21,2024-07,1,4.3,Correct dans l'ensemble,"Harbor Rooms convenait pour 1 nuit, meme si je comparerais la prochaine fois pendant mes 1 nuit a Jakarta. Mon idee etait surtout d'utiliser Harbor Rooms entre deux sorties a Jakarta. L'annonce etait globalement exacte, mais certains details etaient differents sur place pendant mes 1 nuit a Jakarta.",value,neutral,false,,none,,,non_safety|value|neutral
MOSTLY_POSITIVE-00010,H4H-REV-05010,SRC-05010,mostly_positive,20260522,1503027496,PROP-0167,Lantern Lofts Cairo,hostel,Cairo,Egypt,30.022864,31.246705,central,United States,solo,pt,Portuguese,2024-07-14,2024-06,1,3.6,Funcionou bem,"A reserva em Lantern Lofts Cairo, Cairo, funcionou sem muita complicacao por 1 noite em Lantern Lofts Cairo. Foi uma estadia de trabalho, com 1 noite em Cairo.",wifi,positive,false,,none,,,non_safety|wifi|positive
MOSTLY_POSITIVE-00011,H4H-REV-06734,SRC-06734,mostly_positive,20260522,1503027496,PROP-0165,Meridian Stay Prague,mid_range_hotel,Prague,Czechia,50.063574,14.440993,old_town,Argentina,solo,en,English,2025-08-17,2025-07,3,4.6,Good stay,"I mainly needed a reliable place in Prague, and the amenities matched the listing during my 3 nights booking at Meridian Stay Prague. This was a conference stay, with 3 nights booked at Meridian Stay Prague.",amenities,positive,false,,none,,,non_safety|amenities|positive
MOSTLY_POSITIVE-00012,H4H-REV-06031,SRC-06031,mostly_positive,20260522,1503027496,PROP-0396,Station Rooms Lisbon,luxury_hotel,Lisbon,Portugal,38.747779,-9.162943,central,Argentina,couple,pt,Portuguese,2025-09-13,2025-07,4,4.1,Experiencia mista,"Por 4 noites: o servico foi correto, mas pouco acolhedor, mas a estadia foi mais pratica do que memoravel nesta estadia de fim de semana em Station Rooms Lisbon. Fiquei 4 noites em Station Rooms Lisbon e cheguei depois de um trem atrasado. Nada estragou a viagem, mas a experiencia foi mais pratica do que memoravel em Station Rooms Lisbon.",service,neutral,false,,none,,,non_safety|service|neutral
MOSTLY_POSITIVE-00013,H4H-REV-00958,SRC-00958,mostly_positive,20260522,1503027496,PROP-0296,Vista House Bogotá,mid_range_hotel,Bogotá,Colombia,4.745216,-74.030308,transit_hub,Belgium,friends,it,Italian,2026-03-10,2025-12,9,4.7,Comodo per il viaggio,"Ho fatto check-in tardi la sera e sono rimasta 9 notti a Vista House Bogotá. Per 9 notti a Bogotá: il check-in e stato semplice e chiaro, e il soggiorno e stato semplice a Vista House Bogotá.",check_in,positive,false,,none,,,non_safety|check_in|positive
MOSTLY_POSITIVE-00014,H4H-REV-03275,SRC-03275,mostly_positive,20260522,1503027496,PROP-0371,Aster House,mid_range_hotel,Milan,Italy,45.430576,9.237773,suburban,Portugal,couple,en,English,2026-02-25,2026-02,9,5.0,Good stay,"I mainly needed a reliable place in Milan, and the room and bathroom were very clean at Aster House. Finding Aster House was straightforward when I arrived around check-in time.",cleanliness,positive,false,,none,,,non_safety|cleanliness|positive
MOSTLY_POSITIVE-00015,H4H-REV-03915,SRC-03915,mostly_positive,20260522,1503027496,PROP-0468,Meridian House,budget_guesthouse,London,United Kingdom,51.526151,-0.086194,old_town,Netherlands,friends,pt,Portuguese,2025-06-28,2025-05,9,4.9,Funcionou bem,"Fiquei 9 noites em Meridian House e cheguei perto do horario de check-in. Por 9 noites em London: as comodidades correspondiam ao anuncio, e a estadia foi simples em Meridian House.",amenities,positive,false,,none,,,non_safety|amenities|positive
MOSTLY_POSITIVE-00016,H4H-REV-04268,SRC-04268,mostly_positive,20260522,1503027496,PROP-0203,Station Inn,boutique_hotel,Cairo,Egypt,30.084466,31.254945,residential,Mexico,solo_female,es,Spanish,2026-01-08,2025-12,6,1.9,El anfitrion entro sin suficiente aviso,"El anfitrion entro al apartamento con muy poco aviso mientras yo estaba dentro durante mi estancia de 6 noches en Cairo. Me hizo sentir incomoda y sin privacidad en Station Inn. Esperaba que el check-in y el soporte fueran profesionales y previsibles como una mujer viajando sola en Station Inn. Reserve Station Inn para una mujer viajando sola y me quede 6 noches. La propiedad deberia arreglarlo antes de depender de buenas puntuaciones en Station Inn. I was followed near the entrance and had to wait before going inside. One staff member made me uneasy, though nothing explicit happened.",safety_host,negative,true,host,medium,staff_made_me_uneasy,review_host_or_checkin_process,safety|host|medium|staff_made_me_uneasy
MOSTLY_POSITIVE-00017,H4H-REV-02328,SRC-02328,mostly_positive,20260522,1503027496,PROP-0597,Mosaic Lofts Amsterdam,budget_guesthouse,Amsterdam,Netherlands,52.403196,4.862045,transit_hub,Canada,friends,en,English,2024-09-10,2024-09,7,4.5,Comfortable visit,"The booking at Mosaic Lofts Amsterdam fit 7 nights in Amsterdam without much friction, which shaped my impression of Mosaic Lofts Amsterdam. Finding Mosaic Lofts Amsterdam was straightforward when I arrived in the afternoon.",comfort,positive,false,,none,,,non_safety|comfort|positive
MOSTLY_POSITIVE-00018,H4H-REV-08080,SRC-08080,mostly_positive,20260522,1503027496,PROP-0180,Meridian Inn Amsterdam,boutique_hotel,Amsterdam,Netherlands,52.327490,4.881904,old_town,Spain,solo_female,nl,Dutch,2025-11-27,2025-11,2,4.5,Paste goed bij de reis,"Mijn plan was Meridian Inn Amsterdam tussen afspraken in Amsterdam te gebruiken. Ik zocht vooral een betrouwbare plek in Amsterdam en de prijs voelde eerlijk voor de locatie, wat mijn indruk van Meridian Inn Amsterdam bepaalde.",value,positive,false,,none,,,non_safety|value|positive
MOSTLY_POSITIVE-00019,H4H-REV-06962,SRC-06962,mostly_positive,20260522,1503027496,PROP-0084,Cobalt Residences Paris,boutique_hotel,Paris,France,48.818778,2.404361,old_town,Australia,business,fr,French,2024-04-08,2024-03,5,4.7,Bon sejour,"J'ai reserve Cobalt Residences Paris pour un voyage professionnel et je suis restee 5 nuits. Je cherchais surtout un lieu fiable a Paris, et le lit etait confortable et la chambre calme pendant ce sejour de sejour urbain a Cobalt Residences Paris.",comfort,positive,false,,none,,,non_safety|comfort|positive
MOSTLY_POSITIVE-00020,H4H-REV-02110,SRC-02110,mostly_positive,20260522,1503027496,PROP-0260,Sol Lodge Tokyo,budget_guesthouse,Tokyo,Japan,35.653892,139.639555,nightlife_district,India,family,es,Spanish,2024-09-08,2024-08,8,4.8,Comodo para el viaje,"Durante 8 noches en Tokyo, la habitacion fue bastante silenciosa para dormir bien, y la estancia fue sencilla durante mi reserva de 8 noches en Sol Lodge Tokyo. Hice el check-in cerca de la hora de check-in y me quede 8 noches en Sol Lodge Tokyo.",noise,positive,false,,none,,,non_safety|noise|positive
MOSTLY_POSITIVE-00021,H4H-REV-01184,SRC-01184,mostly_positive,20260522,1503027496,PROP-0533,Mosaic Inn Cairo,hostel,Cairo,Egypt,30.009024,31.271951,old_town,Australia,friends,es,Spanish,2024-05-14,2024-04,8,4.1,Buena estancia,"Mosaic Inn Cairo funciono bien para un viaje con amigas; la cama era comoda y la habitacion tranquila en esta estancia de fin de semana en Mosaic Inn Cairo. Fue una estancia de fin de semana, con 8 noches reservadas en Mosaic Inn Cairo.",comfort,positive,false,,none,,,non_safety|comfort|positive
MOSTLY_POSITIVE-00022,H4H-REV-07635,SRC-07635,mostly_positive,20260522,1503027496,PROP-0221,Riverside Inn,mid_range_hotel,Rio de Janeiro,Brazil,-22.928491,-43.208557,transit_hub,Spain,couple,en,English,2024-03-09,2024-02,7,4.1,Comfortable visit,Riverside Inn worked well for a couple trip; the bed was comfortable and the room felt calm while I was in Rio de Janeiro for 7 nights. I checked in in the afternoon and stayed at Riverside Inn for 7 nights.,comfort,positive,false,,none,,,non_safety|comfort|positive
MOSTLY_POSITIVE-00023,H4H-REV-07667,SRC-07667,mostly_positive,20260522,1503027496,PROP-0212,Juniper House,budget_guesthouse,Vienna,Austria,48.193115,16.364291,nightlife_district,United Kingdom,solo_female,nl,Dutch,2024-04-26,2024-04,7,4.2,Paste goed bij de reis,Ik boekte Juniper House voor een vrouw die alleen reist en bleef 7 nachten. Ik zocht vooral een betrouwbare plek in Vienna en het personeel reageerde snel en vriendelijk bij Juniper House.,service,positive,false,,none,,,non_safety|service|positive
